[26/07/2024 13:15:21 - INFO] Discord Presence activated
[26/07/2024 13:15:21 - INFO] Creating discord-rpc client
[26/07/2024 13:15:22 - INFO] Successfully connected to Discord
[26/07/2024 13:15:22 - DEBUG] Loading git extension
[26/07/2024 13:15:22 - TRACE] VSCode language id: go
[26/07/2024 13:18:33 - TRACE] VSCode language id: properties
[26/07/2024 13:18:35 - TRACE] VSCode language id: properties
[26/07/2024 13:18:36 - TRACE] VSCode language id: properties
[26/07/2024 13:18:36 - TRACE] VSCode language id: properties
[26/07/2024 13:18:36 - TRACE] VSCode language id: properties
[26/07/2024 13:18:37 - TRACE] VSCode language id: properties
[26/07/2024 13:41:05 - TRACE] VSCode language id: shellscript
[26/07/2024 13:41:14 - TRACE] VSCode language id: shellscript
[26/07/2024 13:41:16 - TRACE] VSCode language id: shellscript
[26/07/2024 13:41:18 - TRACE] VSCode language id: shellscript
[26/07/2024 13:41:20 - TRACE] VSCode language id: shellscript
[26/07/2024 13:41:27 - TRACE] VSCode language id: shellscript
[26/07/2024 13:41:29 - TRACE] VSCode language id: shellscript
[26/07/2024 13:41:32 - TRACE] VSCode language id: shellscript
[26/07/2024 13:41:34 - TRACE] VSCode language id: shellscript
[26/07/2024 13:41:36 - TRACE] VSCode language id: shellscript
[26/07/2024 13:41:39 - TRACE] VSCode language id: shellscript
[26/07/2024 13:41:41 - TRACE] VSCode language id: shellscript
[26/07/2024 13:41:43 - TRACE] VSCode language id: shellscript
[26/07/2024 13:41:45 - TRACE] VSCode language id: shellscript
[26/07/2024 13:41:47 - TRACE] VSCode language id: shellscript
[26/07/2024 13:42:08 - TRACE] VSCode language id: shellscript
[26/07/2024 13:42:10 - TRACE] VSCode language id: shellscript
[26/07/2024 13:42:12 - TRACE] VSCode language id: shellscript
[26/07/2024 13:42:14 - TRACE] VSCode language id: shellscript
[26/07/2024 13:42:16 - TRACE] VSCode language id: shellscript
[26/07/2024 13:42:19 - TRACE] VSCode language id: shellscript
[26/07/2024 13:42:21 - TRACE] VSCode language id: shellscript
[26/07/2024 13:42:23 - TRACE] VSCode language id: shellscript
