[19/08/2024 09:44:21 - INFO] Discord Presence activated
[19/08/2024 09:44:21 - INFO] Creating discord-rpc client
[19/08/2024 09:44:21 - ERROR] Encountered following error while trying to login:
Error: Could not connect
[19/08/2024 09:44:21 - DEBUG] Loading git extension
[19/08/2024 09:44:21 - TRACE] Git extension not activated, activating...
[19/08/2024 09:44:48 - INFO] Disable: Cleaning up old listeners
[19/08/2024 09:44:48 - INFO] Disable: Destroyed the rpc instance
[19/08/2024 09:44:48 - INFO] Enable: Cleaning up old listeners
[19/08/2024 09:44:48 - INFO] Enable: Attempting to recreate login
[19/08/2024 09:44:48 - INFO] Creating discord-rpc client
[19/08/2024 09:44:49 - INFO] Successfully connected to Discord
[19/08/2024 09:44:49 - TRACE] VSCode language id: html
[19/08/2024 09:44:51 - TRACE] VSCode language id: go
[19/08/2024 12:24:45 - TRACE] VSCode language id: markdown
[19/08/2024 12:24:59 - TRACE] VSCode language id: markdown
[19/08/2024 12:25:01 - TRACE] VSCode language id: markdown
[19/08/2024 12:33:01 - TRACE] VSCode language id: markdown
[19/08/2024 12:33:03 - TRACE] VSCode language id: markdown
[19/08/2024 13:14:32 - TRACE] VSCode language id: markdown
[19/08/2024 13:14:32 - TRACE] VSCode language id: go
[19/08/2024 13:14:34 - TRACE] VSCode language id: go
[19/08/2024 13:25:28 - TRACE] VSCode language id: markdown
[19/08/2024 13:25:29 - TRACE] VSCode language id: markdown
[19/08/2024 13:25:34 - TRACE] VSCode language id: markdown
[19/08/2024 13:25:36 - TRACE] VSCode language id: markdown
[19/08/2024 13:26:00 - TRACE] VSCode language id: markdown
[19/08/2024 13:26:02 - TRACE] VSCode language id: markdown
[19/08/2024 13:26:13 - TRACE] VSCode language id: markdown
[19/08/2024 13:26:15 - TRACE] VSCode language id: markdown
[19/08/2024 13:26:17 - TRACE] VSCode language id: markdown
[19/08/2024 13:26:24 - TRACE] VSCode language id: markdown
[19/08/2024 13:26:26 - TRACE] VSCode language id: markdown
[19/08/2024 13:26:29 - TRACE] VSCode language id: markdown
[19/08/2024 13:26:35 - TRACE] VSCode language id: markdown
[19/08/2024 13:26:37 - TRACE] VSCode language id: markdown
[19/08/2024 13:26:41 - TRACE] VSCode language id: markdown
[19/08/2024 13:26:43 - TRACE] VSCode language id: markdown
[19/08/2024 13:26:52 - TRACE] VSCode language id: markdown
[19/08/2024 13:26:54 - TRACE] VSCode language id: markdown
[19/08/2024 13:27:32 - TRACE] VSCode language id: markdown
[19/08/2024 13:27:34 - TRACE] VSCode language id: markdown
[19/08/2024 13:27:36 - TRACE] VSCode language id: markdown
[19/08/2024 13:27:38 - TRACE] VSCode language id: markdown
[19/08/2024 13:27:40 - TRACE] VSCode language id: markdown
[19/08/2024 13:27:43 - TRACE] VSCode language id: markdown
[19/08/2024 13:27:46 - TRACE] VSCode language id: markdown
[19/08/2024 13:27:48 - TRACE] VSCode language id: markdown
[19/08/2024 13:27:52 - TRACE] VSCode language id: markdown
[19/08/2024 13:27:54 - TRACE] VSCode language id: markdown
[19/08/2024 13:28:01 - TRACE] VSCode language id: markdown
[19/08/2024 13:28:03 - TRACE] VSCode language id: markdown
[19/08/2024 13:28:05 - TRACE] VSCode language id: markdown
[19/08/2024 13:28:10 - TRACE] VSCode language id: markdown
[19/08/2024 13:28:12 - TRACE] VSCode language id: markdown
[19/08/2024 13:28:15 - TRACE] VSCode language id: markdown
[19/08/2024 13:28:18 - TRACE] VSCode language id: markdown
[19/08/2024 13:28:20 - TRACE] VSCode language id: markdown
[19/08/2024 13:30:48 - TRACE] VSCode language id: markdown
[19/08/2024 13:30:48 - TRACE] VSCode language id: go
